text,label,lang
Сегодня я ходила в парк с друзьями.,0,ru
"Рецепт борща очень вкусный, рекомендую.",0,ru
Завтра состоится концерт в центре города.,0,ru
"Купила новый телефон, очень довольна.",0,ru
Погода сегодня солнечная и тёплая.,0,ru
"Подскажите, где находится ближайшая аптека?",0,ru
"Спасибо за интересный фильм, очень понравился.",0,ru
"У меня сегодня день рождения, праздную с семьёй.",0,ru
Не забудьте полить цветы вечером.,0,ru
Поездка на море была незабываемой.,0,ru
Бүгін достарыммен саябаққа бардым.,0,kz
Ауа-райы бүгін күн ашық және жылы.,0,kz
Ертең қала орталығында концерт болады.,0,kz
"Жаңа телефон сатып алдым, өте қуаныштымын.",0,kz
Дәмхана өте дәмді тамақ ұсынады.,0,kz
"Қазір кітап оқып отырмын, қызық екен.",0,kz
Демалыс күні теңізге барамыз.,0,kz
Балаларыммен бірге саябаққа серуендеп келдік.,0,kz
"Бұл фильм маған өте ұнады, рахмет.",0,kz
Туған күнімді отбасыммен тойлап жатырмыз.,0,kz
"Заходи в наше онлайн-казино, бонус 200% на первый депозит!",1,ru
Ставь на спорт прямо сейчас и выигрывай крупные суммы.,1,ru
"Лучшее казино с моментальным выводом средств, без верификации.",1,ru
"Слоты с реальными выплатами, попробуй бесплатно прямо сейчас.",1,ru
"Рулетка онлайн 24/7, заходи и испытай удачу.",1,ru
Беттинг на футбол с лучшими коэффициентами в стране.,1,ru
"Казино без лицензии, но с гарантированными выплатами каждый день.",1,ru
"Играй в покер на деньги, вывод за 5 минут.",1,ru
Промокод VIP100 даёт бонус на ставки в нашем казино.,1,ru
Зеркало казино доступно по ссылке в профиле.,1,ru
"Біздің онлайн казиноға кір, бірінші депозитке 200% бонус!",1,kz
"Спортқа бәс тігіп, қазір үлкен ақша ұтып ал.",1,kz
"Ойын автоматтары нақты ақшаға, тегін сынап көр.",1,kz
"Казинода рулетка 24/7 жұмыс істейді, сәтін сынап көр.",1,kz
"Лицензиясыз казино, бірақ күнделікті төлемдер кепілдік беріледі.",1,kz
"Гарантирую доход x5 за месяц без риска, инвестируй сейчас.",2,ru
Вложи 50000 тенге и получи 200000 через неделю гарантированно.,2,ru
Наша инвестиционная программа приносит стабильный доход 30% в день.,2,ru
"Пассивный доход без усилий, просто вложи деньги и жди.",2,ru
"Криптовалютный фонд с доходностью 500% годовых, проверено.",2,ru
"Заработай на инвестициях без риска, деньги работают сами.",2,ru
Вступай в наш инвестиционный клуб и получай дивиденды каждую неделю.,2,ru
"Удвой свой капитал за 10 дней, проверенная схема.",2,ru
"Финансовая свобода уже через месяц, начни инвестировать сегодня.",2,ru
"Доходность 1000% в год — это реально, у нас тысячи подтверждений.",2,ru
"Бір айда х5 кіріс кепілдендіреміз, қазір инвестиция сал.",2,kz
"50000 теңге салып, бір аптада 200000 ал, кепілдік беріледі.",2,kz
Біздің инвестициялық бағдарлама күніне 30% тұрақты кіріс әкеледі.,2,kz
"Тәуекелсіз пассивті табыс, ақша салып күте бер.",2,kz
"Капиталыңды 10 күнде еселеп өсір, тексерілген схема.",2,kz
Приведи друга и получи 10000 тенге на свой счёт.,3,ru
Построй свою команду и зарабатывай на каждом приглашённом.,3,ru
Сетевой маркетинг с пассивным доходом от рефералов.,3,ru
"Подключайся к нашей структуре, доход растёт с каждым новым участником.",3,ru
Регистрируйся по моей реферальной ссылке и получи бонус.,3,ru
"Чем больше людей приведёшь, тем выше твой ранг и доход.",3,ru
Многоуровневая система вознаграждений за приглашённых друзей.,3,ru
Стань частью нашей команды и зарабатывай на рефералах ежедневно.,3,ru
Поделись ссылкой с друзьями и получай процент с их депозитов.,3,ru
Развивай свою сеть и выходи на пассивный доход за месяц.,3,ru
"Досыңды әкел, шотыңа 10000 теңге аласың.",3,kz
"Командаңды құрып, әр шақырылған адамнан табыс тап.",3,kz
"Менің сілтемем арқылы тіркеліп, бонус ал.",3,kz
Желілік маркетинг арқылы пассивті табыс тап.,3,kz
"Әр жаңа қатысушыдан кірісің артады, құрылымға қосыл.",3,kz
"Только сегодня! Предложение действует 2 часа, не упусти шанс.",4,ru
"Осталось всего 3 места, успей записаться прямо сейчас.",4,ru
"Акция заканчивается через 30 минут, торопись!",4,ru
"Если не примешь решение сегодня, потеряешь эту возможность навсегда.",4,ru
"Цена вырастет уже завтра, успей купить по старой цене.",4,ru
"Это последний шанс присоединиться, потом мест не будет.",4,ru
"Спеши, количество мест ограничено и заканчивается на глазах.",4,ru
"Не теряй время, другие уже зарабатывают, а ты ещё думаешь.",4,ru
"Решай быстро, предложение сгорает через час.",4,ru
"Успей первым, завтра будет поздно.",4,ru
"Тек бүгін! Ұсыныс 2 сағат қана жарамды, мүмкіндікті жіберме.",4,kz
"Орын 3 ғана қалды, қазір тіркел.",4,kz
"Акция 30 минуттан кейін аяқталады, асық!",4,kz
"Бүгін шешім қабылдамасаң, мүмкіндікті мүлде жоғалтасың.",4,kz
"Бағасы ертең көтеріледі, ескі бағамен үлгер.",4,kz
"Напиши ""+"" в комментариях и я отправлю подробности в директ.",5,ru
"Пиши мне в личные сообщения, расскажу всё лично.",5,ru
"Подключайся к закрытому каналу, там вся информация.",5,ru
"Хочешь узнать секрет? Напиши слово ""хочу"" в комментарии.",5,ru
"Заполни анкету по ссылке в профиле, дальше всё расскажу в директе.",5,ru
"Не пишу подробности здесь, переходи в закрытый Telegram-канал.",5,ru
Кто хочет зарабатывать — ставь лайк и пиши мне в директ.,5,ru
"Подробности только для своих, добавляйся в закрытую группу.",5,ru
